id,intent_id,timestamp,source,entity,value,start,end,confidence
0,239,2018-12-21 13:41:47,gold standard,SoftwareName,Word,34,38,-1.0
1,242,2018-12-21 13:41:47,gold standard,SoftwareName,iTunes,24,30,-1.0
2,246,2018-12-21 13:41:47,gold standard,SoftwareName,Project,65,72,-1.0
3,268,2018-12-21 13:41:47,gold standard,UbuntuVersion,11.10,15,20,-1.0
4,268,2018-12-21 13:41:47,gold standard,UbuntuVersion,12.04,24,29,-1.0
5,268,2018-12-21 13:41:47,classification,UbuntuVersion,11.10,15,20,0.8833093090902475
6,268,2018-12-21 13:41:47,classification,UbuntuVersion,12.04,24,29,0.9393545931131472
7,269,2018-12-21 13:41:47,gold standard,UbuntuVersion,16.04,43,48,-1.0
8,270,2018-12-21 13:41:47,gold standard,UbuntuVersion,15.04,21,26,-1.0
9,270,2018-12-21 13:41:47,classification,UbuntuVersion,15.04,21,26,0.6330931828369298
10,271,2018-12-21 13:41:47,gold standard,UbuntuVersion,13.10,28,33,-1.0
11,271,2018-12-21 13:41:47,gold standard,UbuntuVersion,14.04,37,42,-1.0
12,271,2018-12-21 13:41:47,classification,UbuntuVersion,13.10,28,33,0.7635475332603893
13,271,2018-12-21 13:41:47,classification,UbuntuVersion,14.04,37,42,0.8678418199662774
14,272,2018-12-21 13:41:47,gold standard,UbuntuVersion,12.04,22,27,-1.0
15,272,2018-12-21 13:41:47,gold standard,UbuntuVersion,13.10,31,36,-1.0
16,272,2018-12-21 13:41:47,classification,UbuntuVersion,12.04,22,27,0.9811389261149793
17,272,2018-12-21 13:41:47,classification,UbuntuVersion,13.10,31,36,0.8183297354917703
18,274,2018-12-21 13:41:47,gold standard,UbuntuVersion,12.04,15,20,-1.0
19,274,2018-12-21 13:41:47,gold standard,UbuntuVersion,13.10,24,29,-1.0
20,274,2018-12-21 13:41:47,classification,UbuntuVersion,12.04,15,20,0.8902237877945234
21,274,2018-12-21 13:41:47,classification,UbuntuVersion,13.10,24,29,0.7051773448980975
22,275,2018-12-21 13:41:47,gold standard,UbuntuVersion,13.10,20,25,-1.0
23,275,2018-12-21 13:41:47,gold standard,UbuntuVersion,13.04,38,43,-1.0
24,275,2018-12-21 13:41:47,classification,UbuntuVersion,13.10,20,25,0.6856559976987374
25,275,2018-12-21 13:41:47,classification,UbuntuVersion,13.04,38,43,0.8567903151990192
26,276,2018-12-21 13:41:47,gold standard,UbuntuVersion,Lubuntu 15.04,32,45,-1.0
27,276,2018-12-21 13:41:47,classification,UbuntuVersion,15.04,40,45,0.7889642203747447
28,277,2018-12-21 13:41:47,gold standard,UbuntuVersion,12.10,14,19,-1.0
29,277,2018-12-21 13:41:47,gold standard,UbuntuVersion,13.04,23,28,-1.0
30,277,2018-12-21 13:41:47,classification,UbuntuVersion,12.10,14,19,0.9728423633547238
31,277,2018-12-21 13:41:47,classification,UbuntuVersion,13.04,23,28,0.8673731545181138
32,278,2018-12-21 13:41:47,gold standard,UbuntuVersion,11.10,32,37,-1.0
33,278,2018-12-21 13:41:47,gold standard,UbuntuVersion,11.04,50,55,-1.0
34,278,2018-12-21 13:41:47,classification,UbuntuVersion,11.10,32,37,0.8335514275444292
35,278,2018-12-21 13:41:47,classification,UbuntuVersion,11.04,50,55,0.9272716168935939
36,279,2018-12-21 13:41:47,gold standard,UbuntuVersion,Ubuntu 9.10,25,29,-1.0
37,279,2018-12-21 13:41:47,classification,UbuntuVersion,9.10,25,29,0.7466501185039969
38,280,2018-12-21 13:41:47,gold standard,UbuntuVersion,15.10,30,35,-1.0
39,280,2018-12-21 13:41:47,gold standard,UbuntuVersion,14.04,41,46,-1.0
40,280,2018-12-21 13:41:47,classification,UbuntuVersion,15.10,30,35,0.8225136515886624
41,280,2018-12-21 13:41:47,classification,UbuntuVersion,14.04,41,46,0.6590601350385122
42,281,2018-12-21 13:41:47,gold standard,UbuntuVersion,Xubuntu 11.10,16,29,-1.0
43,281,2018-12-21 13:41:47,gold standard,UbuntuVersion,Xubuntu 12.04 LTS?,33,50,-1.0
44,281,2018-12-21 13:41:47,classification,UbuntuVersion,11.10,24,29,0.883408997784774
45,281,2018-12-21 13:41:47,classification,UbuntuVersion,12.04 lts,41,50,0.8479960488577309
46,282,2018-12-21 13:41:47,gold standard,UbuntuVersion,11.10,25,30,-1.0
47,282,2018-12-21 13:41:47,gold standard,UbuntuVersion,12.04,34,39,-1.0
48,282,2018-12-21 13:41:47,classification,UbuntuVersion,11.10,25,30,0.8831160481161974
49,282,2018-12-21 13:41:47,classification,UbuntuVersion,12.04,34,39,0.8604156945344048
50,283,2018-12-21 13:41:47,gold standard,UbuntuVersion,12.04,24,29,-1.0
51,283,2018-12-21 13:41:47,gold standard,UbuntuVersion,14.04,33,38,-1.0
52,283,2018-12-21 13:41:47,classification,UbuntuVersion,12.04,24,29,0.8904673667122083
53,283,2018-12-21 13:41:47,classification,UbuntuVersion,14.04,33,38,0.9280629506688145
54,284,2018-12-21 13:41:47,gold standard,UbuntuVersion,12.10,26,31,-1.0
55,284,2018-12-21 13:41:47,gold standard,UbuntuVersion,13.04,35,40,-1.0
56,284,2018-12-21 13:41:47,classification,UbuntuVersion,12.10,26,31,0.9953112933529992
57,284,2018-12-21 13:41:47,classification,UbuntuVersion,13.04,35,40,0.8673799314493397
58,285,2018-12-21 13:41:47,gold standard,UbuntuVersion,12.04,13,18,-1.0
59,285,2018-12-21 13:41:47,gold standard,UbuntuVersion,12.10,22,27,-1.0
60,285,2018-12-21 13:41:47,classification,UbuntuVersion,12.04,13,18,0.8903716216757226
61,285,2018-12-21 13:41:47,classification,UbuntuVersion,12.10,22,27,0.9597897234139975
62,286,2018-12-21 13:41:47,gold standard,UbuntuVersion,6.06,21,25,-1.0
63,287,2018-12-21 13:41:47,gold standard,UbuntuVersion,10.04,23,28,-1.0
